Training started for V3c
============================================================
Epoch 51: Train=0.005586, Val=0.001288, Data=0.005528, Phys=572.089492, Lambda=1.00e-07, LR=1.00e-05
Epoch 52: Train=0.005372, Val=0.001201, Data=0.005314, Phys=570.328826, Lambda=1.02e-07, LR=1.00e-05
Epoch 53: Train=0.005195, Val=0.001067, Data=0.005135, Phys=574.351592, Lambda=1.04e-07, LR=1.00e-05
Epoch 54: Train=0.004976, Val=0.000945, Data=0.004915, Phys=571.852750, Lambda=1.06e-07, LR=1.00e-05
Epoch 55: Train=0.004847, Val=0.000871, Data=0.004785, Phys=572.567888, Lambda=1.09e-07, LR=1.00e-05
Epoch 56: Train=0.004688, Val=0.000830, Data=0.004625, Phys=574.457653, Lambda=1.11e-07, LR=1.00e-05
Epoch 57: Train=0.004591, Val=0.000727, Data=0.004526, Phys=576.395057, Lambda=1.13e-07, LR=1.00e-05
Epoch 58: Train=0.004461, Val=0.000658, Data=0.004394, Phys=578.189906, Lambda=1.15e-07, LR=1.00e-05
Epoch 59: Train=0.004365, Val=0.000634, Data=0.004297, Phys=577.233847, Lambda=1.18e-07, LR=1.00e-05
Epoch 60: Train=0.004231, Val=0.000591, Data=0.004161, Phys=580.846036, Lambda=1.20e-07, LR=1.00e-05
Epoch 61: Train=0.004148, Val=0.000545, Data=0.004077, Phys=581.326393, Lambda=1.23e-07, LR=1.00e-05
Epoch 62: Train=0.004049, Val=0.000540, Data=0.003976, Phys=580.491168, Lambda=1.25e-07, LR=1.00e-05
Epoch 63: Train=0.003946, Val=0.000522, Data=0.003871, Phys=583.584253, Lambda=1.28e-07, LR=1.00e-05
Epoch 64: Train=0.003906, Val=0.000476, Data=0.003829, Phys=583.225865, Lambda=1.30e-07, LR=1.00e-05
Epoch 65: Train=0.003813, Val=0.000464, Data=0.003735, Phys=583.037644, Lambda=1.33e-07, LR=1.00e-05
Epoch 66: Train=0.003760, Val=0.000448, Data=0.003680, Phys=586.449830, Lambda=1.36e-07, LR=1.00e-05
Epoch 67: Train=0.003693, Val=0.000432, Data=0.003612, Phys=583.655212, Lambda=1.39e-07, LR=1.00e-05
Epoch 68: Train=0.003615, Val=0.000414, Data=0.003532, Phys=586.769446, Lambda=1.42e-07, LR=1.00e-05
Epoch 69: Train=0.003573, Val=0.000415, Data=0.003489, Phys=585.958070, Lambda=1.45e-07, LR=1.00e-05
Epoch 70: Train=0.003498, Val=0.000422, Data=0.003411, Phys=588.343964, Lambda=1.48e-07, LR=1.00e-05
Epoch 71: Train=0.003462, Val=0.000381, Data=0.003374, Phys=588.836058, Lambda=1.51e-07, LR=1.00e-05
Epoch 72: Train=0.003404, Val=0.000375, Data=0.003314, Phys=587.143742, Lambda=1.54e-07, LR=1.00e-05
Epoch 73: Train=0.003360, Val=0.000368, Data=0.003268, Phys=587.715280, Lambda=1.57e-07, LR=1.00e-05
Epoch 74: Train=0.003299, Val=0.000385, Data=0.003205, Phys=585.936173, Lambda=1.60e-07, LR=1.00e-05
Epoch 75: Train=0.003243, Val=0.000351, Data=0.003146, Phys=591.434306, Lambda=1.63e-07, LR=1.00e-05
Epoch 76: Train=0.003200, Val=0.000338, Data=0.003101, Phys=590.225235, Lambda=1.67e-07, LR=1.00e-05
Epoch 77: Train=0.003158, Val=0.000324, Data=0.003057, Phys=588.748990, Lambda=1.70e-07, LR=1.00e-05
Epoch 78: Train=0.003117, Val=0.000324, Data=0.003014, Phys=590.024005, Lambda=1.74e-07, LR=1.00e-05
Epoch 79: Train=0.003081, Val=0.000318, Data=0.002976, Phys=592.295058, Lambda=1.77e-07, LR=1.00e-05
Epoch 80: Train=0.003013, Val=0.000315, Data=0.002906, Phys=590.172830, Lambda=1.81e-07, LR=1.00e-05
Epoch 81: Train=0.002987, Val=0.000296, Data=0.002878, Phys=590.065568, Lambda=1.85e-07, LR=1.00e-05
Epoch 82: Train=0.002946, Val=0.000294, Data=0.002835, Phys=591.173372, Lambda=1.89e-07, LR=1.00e-05
Epoch 83: Train=0.002928, Val=0.000286, Data=0.002814, Phys=592.702611, Lambda=1.93e-07, LR=1.00e-05
Epoch 84: Train=0.002902, Val=0.000288, Data=0.002786, Phys=590.097929, Lambda=1.96e-07, LR=1.00e-05
Epoch 85: Train=0.002828, Val=0.000271, Data=0.002710, Phys=590.247669, Lambda=2.01e-07, LR=1.00e-05
Epoch 86: Train=0.002799, Val=0.000268, Data=0.002678, Phys=590.953258, Lambda=2.05e-07, LR=1.00e-05
Epoch 87: Train=0.002787, Val=0.000264, Data=0.002663, Phys=592.214951, Lambda=2.09e-07, LR=1.00e-05
Epoch 88: Train=0.002743, Val=0.000276, Data=0.002617, Phys=588.957997, Lambda=2.13e-07, LR=1.00e-05
Epoch 89: Train=0.002698, Val=0.000244, Data=0.002569, Phys=592.337249, Lambda=2.18e-07, LR=1.00e-05
Epoch 90: Train=0.002682, Val=0.000270, Data=0.002551, Phys=591.821068, Lambda=2.22e-07, LR=1.00e-05
Epoch 91: Train=0.002655, Val=0.000235, Data=0.002521, Phys=589.933870, Lambda=2.27e-07, LR=1.00e-05
Epoch 92: Train=0.002624, Val=0.000256, Data=0.002487, Phys=590.793491, Lambda=2.31e-07, LR=1.00e-05
Epoch 93: Train=0.002619, Val=0.000228, Data=0.002480, Phys=590.483722, Lambda=2.36e-07, LR=1.00e-05
Epoch 94: Train=0.002574, Val=0.000222, Data=0.002432, Phys=590.568539, Lambda=2.41e-07, LR=1.00e-05
Epoch 95: Train=0.002526, Val=0.000219, Data=0.002381, Phys=590.452499, Lambda=2.46e-07, LR=1.00e-05
Epoch 96: Train=0.002495, Val=0.000207, Data=0.002346, Phys=591.999967, Lambda=2.51e-07, LR=1.00e-05
Epoch 97: Train=0.002490, Val=0.000213, Data=0.002339, Phys=589.721926, Lambda=2.56e-07, LR=1.00e-05
Epoch 98: Train=0.002453, Val=0.000207, Data=0.002299, Phys=589.519402, Lambda=2.62e-07, LR=1.00e-05
