filename,source_x,source_y,PSNR_Mag,PSNR_Real,PSNR_Imag,NMSE_dB
room_acoustic_data_room_0001.mat,-0.5,0.0,32.63736727337782,34.49974904135167,34.210041340193285,-10.537188338305075
room_acoustic_data_room_0002.mat,-0.5,0.011764705882352941,33.16573992085567,35.13845032747827,34.440415149715584,-11.278139040812318
room_acoustic_data_room_0003.mat,-0.5,0.023529411764705882,33.71801653423614,35.72274172925742,34.67179547097318,-12.09704593023484
room_acoustic_data_room_0004.mat,-0.5,0.03529411764705882,34.21570094660656,36.09780312077055,34.86214567507412,-12.925831579500093
room_acoustic_data_room_0005.mat,-0.5,0.047058823529411764,34.591498360897475,36.12971643239762,35.021362730680664,-13.707546350857724
room_acoustic_data_room_0006.mat,-0.5,0.058823529411764705,34.693157848478286,35.70326730749659,35.0794128796998,-14.299190864290798
room_acoustic_data_room_0007.mat,-0.5,0.07058823529411765,34.43492145689349,34.945999240206476,35.044618508299706,-14.622156750566567
room_acoustic_data_room_0008.mat,-0.5,0.08235294117647059,33.747712036176985,34.041214583118716,34.79201170712932,-14.61180934370622
room_acoustic_data_room_0009.mat,-0.5,0.09411764705882353,32.93050568176892,33.16319486290502,34.38121478920715,-14.40625153254878
room_acoustic_data_room_0010.mat,-0.5,0.10588235294117647,32.825371826623964,32.7984690309666,34.53761674023143,-14.486054203922363
room_acoustic_data_room_0011.mat,-0.5,0.11764705882352941,32.55041860324806,32.4619053805618,34.449539186598855,-14.490361114683033
room_acoustic_data_room_0012.mat,-0.5,0.12941176470588237,32.23087972779815,32.20893891681317,34.252641923977954,-14.550703325791698
room_acoustic_data_room_0013.mat,-0.5,0.1411764705882353,31.711017601184057,31.797501887652718,33.869109151675374,-14.51281661707541
room_acoustic_data_room_0014.mat,-0.5,0.15294117647058825,31.44374912425919,31.57853178610707,33.76868944110919,-14.556088168315295
room_acoustic_data_room_0015.mat,-0.5,0.16470588235294117,32.0859206141518,32.00706854823248,34.59974983558459,-14.996085997371505
room_acoustic_data_room_0016.mat,-0.5,0.17647058823529413,32.50939875259134,32.34123865728198,35.206241361667125,-15.320541918677934
room_acoustic_data_room_0017.mat,-0.5,0.18823529411764706,32.742816468000875,32.6244623856236,35.555699602847476,-15.556563793350037
room_acoustic_data_room_0018.mat,-0.5,0.2,32.84759270934606,32.96699841119796,35.63078848440078,-15.76322156688792
room_acoustic_data_room_0019.mat,-0.5,0.21176470588235294,32.85579210205786,33.241794229445915,35.49449009663143,-15.970729475723413
room_acoustic_data_room_0020.mat,-0.5,0.2235294117647059,32.672057636616984,33.37928649585968,35.112258428034856,-16.08213214706342
room_acoustic_data_room_0021.mat,-0.5,0.23529411764705882,32.185292658426526,33.255058309470094,34.44604457754232,-15.98363420748537
room_acoustic_data_room_0022.mat,-0.5,0.24705882352941178,32.5365074634859,33.63982690340636,34.71749805662753,-16.261373280139942
room_acoustic_data_room_0023.mat,-0.5,0.25882352941176473,33.034487132253,34.0185400425975,35.20994448329441,-16.543957206409058
room_acoustic_data_room_0024.mat,-0.5,0.27058823529411763,33.20117504919823,34.07987450778202,35.43146125176266,-16.587447732590636
room_acoustic_data_room_0025.mat,-0.5,0.2823529411764706,33.08705543192667,33.90900862915106,35.37885541571788,-16.442828073895555
room_acoustic_data_room_0026.mat,-0.5,0.29411764705882354,32.89573650138961,33.71524301772507,35.14319152005362,-16.313317281726356
room_acoustic_data_room_0027.mat,-0.5,0.3058823529411765,32.734984343213306,33.57900730964475,34.85957564529885,-16.306164234407557
room_acoustic_data_room_0028.mat,-0.5,0.3176470588235294,32.55414880076506,33.42632327404014,34.53881138987241,-16.369954186877184
room_acoustic_data_room_0029.mat,-0.5,0.32941176470588235,32.186205059544974,33.1476594043528,34.083080652397925,-16.335738087898935
room_acoustic_data_room_0030.mat,-0.5,0.3411764705882353,32.07405279789175,33.06692563299566,33.88745055831188,-16.385465986531894
room_acoustic_data_room_0031.mat,-0.5,0.35294117647058826,32.6665026713328,33.55922847918838,34.400240930711945,-16.732104365365373
room_acoustic_data_room_0032.mat,-0.5,0.36470588235294116,33.033311742603516,33.837834454848476,34.75040786442779,-16.940297410315257
room_acoustic_data_room_0033.mat,-0.5,0.3764705882352941,33.26223417028588,34.03355413204152,34.95773221868088,-17.099995608933497
room_acoustic_data_room_0034.mat,-0.5,0.38823529411764707,33.33768296864179,34.21043951512179,35.01077520398587,-17.196411299132603
room_acoustic_data_room_0035.mat,-0.5,0.4,33.35675161863097,34.44597366486146,34.94823789660942,-17.326850751181187
room_acoustic_data_room_0036.mat,-0.5,0.4117647058823529,33.22259192061817,34.592101750892354,34.763934071437255,-17.394251299551822
room_acoustic_data_room_0037.mat,-0.5,0.4235294117647059,32.82918257889271,34.46592086619184,34.372307068976966,-17.29136557453608
room_acoustic_data_room_0038.mat,-0.5,0.43529411764705883,32.10667211471203,33.91176989590135,33.76430998119831,-16.945167798470987
room_acoustic_data_room_0039.mat,-0.5,0.4470588235294118,32.27446444218165,34.01275316248135,34.07500967777946,-16.84694064067816
room_acoustic_data_room_0040.mat,-0.5,0.4588235294117647,32.218860047111434,33.816633857747654,34.226104220184006,-16.5884930093183
room_acoustic_data_room_0041.mat,-0.5,0.47058823529411764,32.086850593727895,33.542391425521174,34.27718325848663,-16.342998668991708
room_acoustic_data_room_0042.mat,-0.5,0.4823529411764706,31.980486310802302,33.319826318178855,34.29009964240802,-16.21416278153881
room_acoustic_data_room_0043.mat,-0.5,0.49411764705882355,31.881127834717148,33.085594003359105,34.264485756865554,-16.1840156595862
room_acoustic_data_room_0044.mat,-0.5,0.5058823529411764,31.7743507701054,32.82336403201916,34.164019568049795,-16.238174201902364
room_acoustic_data_room_0045.mat,-0.5,0.5176470588235295,31.606481864886625,32.54264878616795,33.943729811033855,-16.32205157918467
room_acoustic_data_room_0046.mat,-0.5,0.5294117647058824,31.24108092764402,32.14304454677532,33.504824638098405,-16.296560623146238
room_acoustic_data_room_0047.mat,-0.5,0.5411764705882353,31.415121427758784,32.27804462550715,33.703247194127385,-16.352018722245734
room_acoustic_data_room_0048.mat,-0.5,0.5529411764705883,31.730917581365993,32.55978700727388,34.09772128157357,-16.420791630374442
room_acoustic_data_room_0049.mat,-0.5,0.5647058823529412,31.965019960058456,32.81108042296896,34.38099491698366,-16.498478987299073
room_acoustic_data_room_0050.mat,-0.5,0.5764705882352941,32.180990043528496,33.01228390846073,34.64240982889922,-16.65071717095507
room_acoustic_data_room_0051.mat,-0.5,0.5882352941176471,32.366103462285295,33.24017451683511,34.8383990232298,-16.865662419827878
room_acoustic_data_room_0052.mat,-0.5,0.6,32.48499609065954,33.48646813446581,34.88076547258848,-17.108135820049398
room_acoustic_data_room_0053.mat,-0.5,0.611764705882353,32.44462880795211,33.57845164749553,34.75412421087627,-17.284442893511155
room_acoustic_data_room_0054.mat,-0.5,0.6235294117647059,32.06110250072835,33.38145118263341,34.29559983883931,-17.208498914460954
room_acoustic_data_room_0055.mat,-0.5,0.6352941176470588,31.983825614059157,33.36766310900214,34.24024663784853,-17.131743508831438
room_acoustic_data_room_0056.mat,-0.5,0.6470588235294118,32.20186920714375,33.47982066130313,34.59894004539028,-17.066217247354885
room_acoustic_data_room_0057.mat,-0.5,0.6588235294117647,32.17181021917402,33.368852667220615,34.716970257762874,-16.844385543335765
room_acoustic_data_room_0058.mat,-0.5,0.6705882352941176,32.09272003951006,33.20227942816277,34.74124693849263,-16.66772480238364
