filename,source_x,source_y,PSNR_Mag,PSNR_Real,PSNR_Imag,NMSE_dB
room_acoustic_data_room_0001.mat,-0.5,0.0,28.88943055776252,31.860986979321137,30.431918053765553,-6.789251622689772
room_acoustic_data_room_0002.mat,-0.5,0.011764705882352941,29.033668382561682,32.197517708593175,30.43135590886412,-7.146067502518325
room_acoustic_data_room_0003.mat,-0.5,0.023529411764705882,29.1048371746699,32.43410882543681,30.38453145218813,-7.483866570668603
room_acoustic_data_room_0004.mat,-0.5,0.03529411764705882,29.069849779664054,32.509274111274834,30.26441042604516,-7.779980412557586
room_acoustic_data_room_0005.mat,-0.5,0.047058823529411764,28.893551249221776,32.361331778860134,30.05490248290051,-8.009599239182021
room_acoustic_data_room_0006.mat,-0.5,0.058823529411764705,28.55432540765758,31.930571070629732,29.747051387416818,-8.160358423470093
room_acoustic_data_room_0007.mat,-0.5,0.07058823529411765,28.02260376958182,31.21034451064428,29.32216863843113,-8.2098390632549
room_acoustic_data_room_0008.mat,-0.5,0.08235294117647059,27.276586186808952,30.190421740443018,28.73718019897089,-8.140683494338191
room_acoustic_data_room_0009.mat,-0.5,0.09411764705882353,26.575260939148112,29.292396100461644,28.165275619441683,-8.051006789927971
room_acoustic_data_room_0010.mat,-0.5,0.10588235294117647,26.452553124297488,28.965814054870172,28.128126032680264,-8.113235501595884
room_acoustic_data_room_0011.mat,-0.5,0.11764705882352941,26.187381726913035,28.549395497295613,27.9476814039856,-8.12732423834801
room_acoustic_data_room_0012.mat,-0.5,0.12941176470588237,25.720758983501334,28.0270059483866,27.585974476091515,-8.040582581494883
room_acoustic_data_room_0013.mat,-0.5,0.1411764705882353,25.087008104406713,27.422975574207452,27.086480751408523,-7.888807120298066
room_acoustic_data_room_0014.mat,-0.5,0.15294117647058825,24.74858239225867,27.111722549278838,26.83721403594449,-7.860921436314772
room_acoustic_data_room_0015.mat,-0.5,0.16470588235294117,25.034741833758524,27.33526435420618,27.195629997556384,-7.944907216978222
