filename,source_x,source_y,PSNR_Mag,PSNR_Real,PSNR_Imag,NMSE_dB
room_acoustic_data_room_0001.mat,-0.5,0.0,29.93920279456082,31.679344223151436,30.81631887288455,-7.839023859488074
room_acoustic_data_room_0002.mat,-0.5,0.011764705882352941,30.111933986345317,31.93941588254511,30.857711385935794,-8.22433310630196
room_acoustic_data_room_0003.mat,-0.5,0.023529411764705882,30.242457910361754,32.122886108440944,30.86879081394268,-8.621487306360455
room_acoustic_data_room_0004.mat,-0.5,0.03529411764705882,30.304083188059895,32.18137936955986,30.796050361235125,-9.014213820953431
room_acoustic_data_room_0005.mat,-0.5,0.047058823529411764,30.250292581710845,32.03221069369889,30.651718785065363,-9.36634057167109
room_acoustic_data_room_0006.mat,-0.5,0.058823529411764705,30.05218890085503,31.652103373118223,30.40265674367729,-9.65822191666754
room_acoustic_data_room_0007.mat,-0.5,0.07058823529411765,29.64369293139816,31.053591259215313,30.031253155785528,-9.830928225071236
room_acoustic_data_room_0008.mat,-0.5,0.08235294117647059,29.051128666029836,30.29014548818187,29.513796958894446,-9.915225973559075
room_acoustic_data_room_0009.mat,-0.5,0.09411764705882353,28.478324679168846,29.571717392384965,29.110976891033964,-9.954070529948703
room_acoustic_data_room_0010.mat,-0.5,0.10588235294117647,28.497442173484092,29.300047760732344,29.238112025780005,-10.15812455078249
room_acoustic_data_room_0011.mat,-0.5,0.11764705882352941,28.3927584957817,28.960819748598254,29.18296803029206,-10.332701007216674
room_acoustic_data_room_0012.mat,-0.5,0.12941176470588237,28.10670577156491,28.52515228607356,28.94296311707852,-10.426529369558462
room_acoustic_data_room_0013.mat,-0.5,0.1411764705882353,27.63187712106926,28.024606893102696,28.604638845296133,-10.433676136960612
room_acoustic_data_room_0014.mat,-0.5,0.15294117647058825,27.3255420341849,27.677403958458417,28.444506217453768,-10.437881078240999
room_acoustic_data_room_0015.mat,-0.5,0.16470588235294117,27.674282407003513,27.809928199855527,28.89773694908194,-10.584447790223216
room_acoustic_data_room_0016.mat,-0.5,0.17647058823529413,27.83382949021629,27.854630545802653,29.182663892315,-10.644972656302885
room_acoustic_data_room_0017.mat,-0.5,0.18823529411764706,27.824668739332246,27.819047607836787,29.278159466555724,-10.638416064681408
room_acoustic_data_room_0018.mat,-0.5,0.2,27.71614526549866,27.765605725372374,29.225773435845724,-10.631774123040522
room_acoustic_data_room_0019.mat,-0.5,0.21176470588235294,27.527040777653472,27.693592973605444,29.062841643067703,-10.64197815131902
room_acoustic_data_room_0020.mat,-0.5,0.2235294117647059,27.19715162968244,27.534009463938464,28.760631300123194,-10.607226140128876
room_acoustic_data_room_0021.mat,-0.5,0.23529411764705882,26.729730732213348,27.263028128484915,28.306527486014893,-10.52807228127219
room_acoustic_data_room_0022.mat,-0.5,0.24705882352941178,26.907203529984912,27.44860531204674,28.483118739512292,-10.632069346638955
room_acoustic_data_room_0023.mat,-0.5,0.25882352941176473,27.239413704659032,27.725819691457488,28.83141575055745,-10.74888377881509
room_acoustic_data_room_0024.mat,-0.5,0.27058823529411763,27.40614319959411,27.86160115208038,29.036146663356387,-10.792415882986518
room_acoustic_data_room_0025.mat,-0.5,0.2823529411764706,27.448130931727924,27.89608278121872,29.12200909127182,-10.803903573696807
room_acoustic_data_room_0026.mat,-0.5,0.29411764705882354,27.387422072801474,27.882194468119067,29.084557167367713,-10.80500285313822
room_acoustic_data_room_0027.mat,-0.5,0.3058823529411765,27.218758545788383,27.796843430506296,28.91203410155822,-10.789938436982636
room_acoustic_data_room_0028.mat,-0.5,0.3176470588235294,26.92828964271653,27.608190410734895,28.61023352353306,-10.744095028828651
room_acoustic_data_room_0029.mat,-0.5,0.32941176470588235,26.509651714888676,27.314195779806212,28.24145045679971,-10.65918474324264
room_acoustic_data_room_0030.mat,-0.5,0.3411764705882353,26.261968764800244,27.108977436705803,28.011018332755306,-10.573381953440384
room_acoustic_data_room_0031.mat,-0.5,0.35294117647058826,26.56695783325536,27.31522819626786,28.281394912702584,-10.632559527287928
room_acoustic_data_room_0032.mat,-0.5,0.36470588235294116,26.70418349023464,27.381850280837703,28.416726536801725,-10.611169157946382
room_acoustic_data_room_0033.mat,-0.5,0.3764705882352941,26.71236424185098,27.349851309247086,28.437865952496185,-10.5501256804986
room_acoustic_data_room_0034.mat,-0.5,0.38823529411764707,26.643253265025372,27.289184039955696,28.393730547620997,-10.50198159551618
room_acoustic_data_room_0035.mat,-0.5,0.4,26.484702108448115,27.18299015767804,28.258970291624266,-10.454801240998329
room_acoustic_data_room_0036.mat,-0.5,0.4117647058823529,26.239149981016116,27.023754374062825,28.039174492651064,-10.410809359949766
room_acoustic_data_room_0037.mat,-0.5,0.4235294117647059,25.87986802936877,26.80042983657134,27.73811694545237,-10.342051025012136
room_acoustic_data_room_0038.mat,-0.5,0.43529411764705883,25.388394310000724,26.461835693592548,27.369425213835292,-10.226889993759677
room_acoustic_data_room_0039.mat,-0.5,0.4470588235294118,25.69797619825915,26.68205359270086,27.613932446349224,-10.270452396755658
room_acoustic_data_room_0040.mat,-0.5,0.4588235294117647,25.895265301590342,26.80655586555674,27.78829039102312,-10.264898263797207
room_acoustic_data_room_0041.mat,-0.5,0.47058823529411764,25.960723655870737,26.835448827149374,27.861366409882095,-10.21687173113455
room_acoustic_data_room_0042.mat,-0.5,0.4823529411764706,25.939719215358785,26.80452102430778,27.875807266555455,-10.173395686095292
room_acoustic_data_room_0043.mat,-0.5,0.49411764705882355,25.83982561099959,26.72082937831508,27.798274613890822,-10.142713435868643
room_acoustic_data_room_0044.mat,-0.5,0.5058823529411764,25.626667483753568,26.5510299441336,27.61441061852164,-10.090490915550532
room_acoustic_data_room_0045.mat,-0.5,0.5176470588235295,25.30041827456765,26.288492577368757,27.342463444536264,-10.015987988865698
room_acoustic_data_room_0046.mat,-0.5,0.5294117647058824,24.854472656975002,25.95759232746554,27.013195610726175,-9.90995235247722
room_acoustic_data_room_0047.mat,-0.5,0.5411764705882353,24.9394504464709,26.05307188448556,27.104886292898946,-9.876347740957849
room_acoustic_data_room_0048.mat,-0.5,0.5529411764705883,25.162308207359324,26.266630204066566,27.334998520710563,-9.852182256367772
room_acoustic_data_room_0049.mat,-0.5,0.5647058823529412,25.283129786490687,26.39692597445816,27.487392928184594,-9.816588813731304
room_acoustic_data_room_0050.mat,-0.5,0.5764705882352941,25.305256586727687,26.45096222205547,27.54833859560223,-9.774983714154262
room_acoustic_data_room_0051.mat,-0.5,0.5882352941176471,25.24290468313589,26.444101009644776,27.507159518798936,-9.742463640678478
room_acoustic_data_room_0052.mat,-0.5,0.6,25.10244840261641,26.40680474820231,27.38277359524604,-9.725588132006262
room_acoustic_data_room_0053.mat,-0.5,0.611764705882353,24.859399736877478,26.281967833808825,27.13626746145342,-9.69921382243653
room_acoustic_data_room_0054.mat,-0.5,0.6235294117647059,24.51687507637702,26.04782164858618,26.80992243073318,-9.664271490109615
room_acoustic_data_room_0055.mat,-0.5,0.6352941176470588,24.549759363370182,26.099889174424145,26.841424455157465,-9.697677258142466
room_acoustic_data_room_0056.mat,-0.5,0.6470588235294118,24.931366497181585,26.43409493327789,27.208445328637655,-9.79571453739272
room_acoustic_data_room_0057.mat,-0.5,0.6588235294117647,25.174817139984963,26.64304492719343,27.473071611447764,-9.847392464146713
room_acoustic_data_room_0058.mat,-0.5,0.6705882352941176,25.29872793040021,26.75588180714759,27.606508463512192,-9.873732693273784
room_acoustic_data_room_0059.mat,-0.5,0.6823529411764706,25.316264428001666,26.778132424442255,27.623047670383357,-9.888873452275806
