filename,source_x,source_y,PSNR_Mag
room_acoustic_data_room_3277.mat,-2.0,2.4,16.02735837397077
room_acoustic_data_room_3278.mat,-2.0,2.411764705882353,16.02735837397077
room_acoustic_data_room_3279.mat,-2.0,2.4235294117647057,16.02735837397077
room_acoustic_data_room_3280.mat,-2.0,2.4352941176470586,16.02735837397077
room_acoustic_data_room_3281.mat,-2.0,2.447058823529412,16.02735837397077
room_acoustic_data_room_3282.mat,-2.0,2.458823529411765,16.02735837397077
room_acoustic_data_room_3283.mat,-2.0,2.4705882352941178,16.02735837397077
room_acoustic_data_room_3284.mat,-2.0,2.4823529411764707,16.02735837397077
room_acoustic_data_room_3285.mat,-2.0,2.4941176470588236,16.02735837397077
room_acoustic_data_room_3286.mat,-2.0,2.5058823529411764,16.02735837397077
room_acoustic_data_room_3287.mat,-2.0,2.5176470588235293,16.02735837397077
room_acoustic_data_room_3288.mat,-2.0,2.5294117647058822,16.02735837397077
room_acoustic_data_room_3289.mat,-2.0,2.541176470588235,16.02735837397077
room_acoustic_data_room_3290.mat,-2.0,2.552941176470588,16.02735837397077
room_acoustic_data_room_3291.mat,-2.0,2.5647058823529414,16.02735837397077
room_acoustic_data_room_3292.mat,-2.0,2.5764705882352943,16.02735837397077
room_acoustic_data_room_3293.mat,-2.0,2.588235294117647,16.02735837397077
room_acoustic_data_room_3294.mat,-2.0,2.6,16.02735837397077
room_acoustic_data_room_3295.mat,-2.0,2.611764705882353,16.02735837397077
room_acoustic_data_room_3296.mat,-2.0,2.623529411764706,16.02735837397077
room_acoustic_data_room_3297.mat,-2.0,2.635294117647059,16.02735837397077
room_acoustic_data_room_3298.mat,-2.0,2.6470588235294117,16.02735837397077
room_acoustic_data_room_3299.mat,-2.0,2.6588235294117646,16.02735837397077
room_acoustic_data_room_3300.mat,-2.0,2.6705882352941175,16.02735837397077
room_acoustic_data_room_3301.mat,-2.0,2.6823529411764704,16.02735837397077
room_acoustic_data_room_3302.mat,-2.0,2.6941176470588237,16.02735837397077
