Training started for V3b
============================================================
Epoch 52: Train=0.002660, Val=0.000278, Data=0.002659, Phys=650.358574, Lambda=1.03e-09, LR=1.00e-05
Epoch 53: Train=0.002595, Val=0.000252, Data=0.002594, Phys=653.092992, Lambda=1.06e-09, LR=1.00e-05
Epoch 54: Train=0.002531, Val=0.000255, Data=0.002530, Phys=649.524466, Lambda=1.10e-09, LR=1.00e-05
Epoch 55: Train=0.002492, Val=0.000231, Data=0.002491, Phys=649.560117, Lambda=1.13e-09, LR=1.00e-05
Epoch 56: Train=0.002418, Val=0.000227, Data=0.002417, Phys=647.355340, Lambda=1.17e-09, LR=1.00e-05
Epoch 57: Train=0.002376, Val=0.000216, Data=0.002376, Phys=648.086186, Lambda=1.20e-09, LR=1.00e-05
Epoch 58: Train=0.002308, Val=0.000205, Data=0.002307, Phys=650.331197, Lambda=1.24e-09, LR=1.00e-05
Epoch 59: Train=0.002264, Val=0.000211, Data=0.002263, Phys=647.295720, Lambda=1.28e-09, LR=1.00e-05
Epoch 60: Train=0.002227, Val=0.000190, Data=0.002226, Phys=644.531946, Lambda=1.32e-09, LR=1.00e-05
Epoch 61: Train=0.002182, Val=0.000188, Data=0.002181, Phys=645.561833, Lambda=1.36e-09, LR=1.00e-05
Epoch 62: Train=0.002142, Val=0.000191, Data=0.002141, Phys=645.137389, Lambda=1.40e-09, LR=1.00e-05
Epoch 63: Train=0.002091, Val=0.000171, Data=0.002090, Phys=645.530079, Lambda=1.45e-09, LR=1.00e-05
Epoch 64: Train=0.002042, Val=0.000163, Data=0.002041, Phys=645.704783, Lambda=1.49e-09, LR=1.00e-05
Epoch 65: Train=0.002020, Val=0.000154, Data=0.002019, Phys=644.848285, Lambda=1.54e-09, LR=1.00e-05
Epoch 66: Train=0.001976, Val=0.000160, Data=0.001975, Phys=646.190205, Lambda=1.58e-09, LR=1.00e-05
Epoch 67: Train=0.001930, Val=0.000164, Data=0.001929, Phys=645.724861, Lambda=1.63e-09, LR=1.00e-05
Epoch 68: Train=0.001921, Val=0.000146, Data=0.001920, Phys=644.844176, Lambda=1.69e-09, LR=1.00e-05
Epoch 69: Train=0.001874, Val=0.000145, Data=0.001873, Phys=644.151356, Lambda=1.74e-09, LR=1.00e-05
Epoch 70: Train=0.001838, Val=0.000140, Data=0.001837, Phys=645.576953, Lambda=1.79e-09, LR=1.00e-05
Epoch 71: Train=0.001796, Val=0.000138, Data=0.001795, Phys=643.639566, Lambda=1.85e-09, LR=1.00e-05
Epoch 72: Train=0.001782, Val=0.000134, Data=0.001780, Phys=644.399957, Lambda=1.91e-09, LR=1.00e-05
Epoch 73: Train=0.001738, Val=0.000127, Data=0.001737, Phys=644.992936, Lambda=1.96e-09, LR=1.00e-05
Epoch 74: Train=0.001710, Val=0.000125, Data=0.001708, Phys=642.656632, Lambda=2.03e-09, LR=1.00e-05
Epoch 75: Train=0.001699, Val=0.000118, Data=0.001697, Phys=645.312120, Lambda=2.09e-09, LR=1.00e-05
Epoch 76: Train=0.001648, Val=0.000125, Data=0.001647, Phys=644.564169, Lambda=2.15e-09, LR=1.00e-05
Epoch 77: Train=0.001632, Val=0.000127, Data=0.001630, Phys=643.851909, Lambda=2.22e-09, LR=1.00e-05
Epoch 78: Train=0.001610, Val=0.000119, Data=0.001608, Phys=644.014435, Lambda=2.29e-09, LR=1.00e-05
Epoch 79: Train=0.001585, Val=0.000124, Data=0.001583, Phys=646.017001, Lambda=2.36e-09, LR=1.00e-05
Epoch 80: Train=0.001571, Val=0.000125, Data=0.001570, Phys=643.599174, Lambda=2.44e-09, LR=1.00e-05
Epoch 81: Train=0.001552, Val=0.000109, Data=0.001550, Phys=643.773889, Lambda=2.51e-09, LR=1.00e-05
Epoch 82: Train=0.001533, Val=0.000109, Data=0.001532, Phys=642.600331, Lambda=2.59e-09, LR=1.00e-05
Epoch 83: Train=0.001497, Val=0.000116, Data=0.001495, Phys=644.188161, Lambda=2.67e-09, LR=1.00e-05
Epoch 84: Train=0.001484, Val=0.000111, Data=0.001482, Phys=643.350671, Lambda=2.75e-09, LR=1.00e-05
Epoch 85: Train=0.001454, Val=0.000108, Data=0.001452, Phys=644.274553, Lambda=2.84e-09, LR=1.00e-05
Epoch 86: Train=0.001439, Val=0.000093, Data=0.001437, Phys=643.801799, Lambda=2.93e-09, LR=1.00e-05
Epoch 87: Train=0.001418, Val=0.000093, Data=0.001417, Phys=641.790443, Lambda=3.02e-09, LR=1.00e-05
Epoch 88: Train=0.001386, Val=0.000092, Data=0.001384, Phys=644.051027, Lambda=3.11e-09, LR=1.00e-05
Epoch 89: Train=0.001385, Val=0.000099, Data=0.001383, Phys=642.547020, Lambda=3.21e-09, LR=1.00e-05
Epoch 90: Train=0.001361, Val=0.000085, Data=0.001359, Phys=643.744628, Lambda=3.31e-09, LR=1.00e-05
Epoch 91: Train=0.001351, Val=0.000083, Data=0.001349, Phys=643.167712, Lambda=3.41e-09, LR=1.00e-05
Epoch 92: Train=0.001312, Val=0.000082, Data=0.001309, Phys=643.057889, Lambda=3.52e-09, LR=1.00e-05
Epoch 93: Train=0.001308, Val=0.000092, Data=0.001305, Phys=642.272631, Lambda=3.63e-09, LR=1.00e-05
Epoch 94: Train=0.001290, Val=0.000080, Data=0.001287, Phys=643.060088, Lambda=3.74e-09, LR=1.00e-05
Epoch 95: Train=0.001293, Val=0.000076, Data=0.001291, Phys=644.007370, Lambda=3.86e-09, LR=1.00e-05
Epoch 96: Train=0.001262, Val=0.000082, Data=0.001260, Phys=640.812379, Lambda=3.98e-09, LR=1.00e-05
Epoch 97: Train=0.001257, Val=0.000080, Data=0.001254, Phys=643.575041, Lambda=4.11e-09, LR=1.00e-05
Epoch 98: Train=0.001236, Val=0.000072, Data=0.001233, Phys=641.030168, Lambda=4.23e-09, LR=1.00e-05
Epoch 99: Train=0.001216, Val=0.000069, Data=0.001213, Phys=642.108975, Lambda=4.37e-09, LR=1.00e-05
Epoch 100: Train=0.001216, Val=0.000073, Data=0.001213, Phys=641.113943, Lambda=4.50e-09, LR=1.00e-05
Epoch 101: Train=0.001200, Val=0.000068, Data=0.001197, Phys=641.104253, Lambda=4.64e-09, LR=1.00e-05
Epoch 102: Train=0.001196, Val=0.000070, Data=0.001193, Phys=640.909991, Lambda=4.79e-09, LR=1.00e-05
Epoch 103: Train=0.001169, Val=0.000068, Data=0.001166, Phys=641.273055, Lambda=4.94e-09, LR=1.00e-05
Epoch 104: Train=0.001149, Val=0.000066, Data=0.001146, Phys=641.748324, Lambda=5.09e-09, LR=1.00e-05
Epoch 105: Train=0.001144, Val=0.000067, Data=0.001140, Phys=641.729998, Lambda=5.25e-09, LR=1.00e-05
